InvoiceNumber	Date	ProductCode	TotalCost	TotalSalesAmount	SalesPersonCode	FirstName	LastName	Country
INV0051	2015/8/10	BIKE4155	523.14	697.52	usr032	Joe	Perry	China
INV0102	2014/2/21	BIKE3630	505.83	674.44	usr031	Margaret	Matthews	China
INV0141	2013/8/23	BIKE3630	1264.575	1686.1	usr046	Kathleen	Scott	China
INV0164	2014/7/22	BIKE3630	252.915	337.22	usr032	Joe	Perry	China
INV0167	2015/5/20	BIKE4155	523.14	697.52	usr045	Frances	Walker	China
INV0180	2016/3/24	BIKE4080	156.76875	209.025	usr010	Gregory	Sanders	China
INV0182	2015/3/5	BIKE4155	1046.28	1395.04	usr044	Clarence	Ortiz	China
INV0184	2014/1/5	BIKE3630	252.915	337.22	usr049	Rose	Stone	China
INV0192	2014/10/22	BIKE4155	1046.28	1395.04	usr014	Joe	Warren	China
INV0195	2013/10/5	BIKE4155	784.71	1046.28	usr049	Rose	Stone	China
INV0204	2014/4/16	BIKE4080	470.30625	627.075	usr036	Nicole	Mendoza	China
INV0216	2013/8/31	BIKE3630	1264.575	1686.1	usr023	Randy	Brown	China
INV0265	2014/7/19	BIKE4680	1629.8625	2173.15	usr007	Christina	Cook	China
INV0299	2013/10/28	BIKE3630	252.915	337.22	usr014	Joe	Warren	China
INV0327	2015/3/13	BIKE4080	783.84375	1045.125	usr022	Elizabeth	Weaver	China
INV0328	2015/1/15	BIKE4155	1046.28	1395.04	usr005	Annie	Fox	China
INV0405	2016/4/17	BIKE4080	470.30625	627.075	usr034	Gloria	Fisher	China
INV0407	2014/1/15	BIKE4155	1046.28	1395.04	usr050	Maria	Stanley	China
INV0408	2014/2/21	BIKE3630	505.83	674.44	usr024	Barbara	Martinez	China
INV0415	2015/1/8	BIKE4155	1307.85	1743.8	usr045	Frances	Walker	China
INV0475	2014/6/10	BIKE4680	2142.105	2856.14	usr013	Louis	Rice	China
INV0488	2013/4/2	BIKE4155	1307.85	1743.8	usr031	Margaret	Matthews	China
INV0491	2014/3/31	BIKE4080	783.84375	1045.125	usr013	Louis	Rice	China
INV0494	2016/3/20	BIKE4080	470.30625	627.075	usr047	Martin	King	China
INV0502	2015/2/14	BIKE3630	505.83	674.44	usr035	Willie	Jackson	China
INV0506	2015/4/24	BIKE4080	470.30625	627.075	usr006	Dorothy	Garrett	China
INV0508	2014/4/7	BIKE4680	1629.8625	2173.15	usr018	Roy	Jackson	China
INV0616	2014/1/10	BIKE4550	908.04	1210.72	usr020	Bobby	Bishop	China
INV0617	2014/3/10	BIKE4680	2142.105	2856.14	usr023	Randy	Brown	China
INV0619	2016/1/4	BIKE4155	784.71	1046.28	usr031	Margaret	Matthews	China
INV0639	2013/7/29	BIKE4680	791.6475	1055.53	usr015	Melissa	Lynch	China
INV0660	2015/12/1	BIKE3630	1264.575	1686.1	usr003	Wayne	Parker	China
INV0723	2015/4/15	BIKE4680	931.35	1241.8	usr005	Annie	Fox	China
INV0725	2013/7/7	BIKE4080	313.5375	418.05	usr035	Willie	Jackson	China
INV0729	2013/5/19	BIKE4155	1307.85	1743.8	usr008	Rachel	Arnold	China
INV0753	2016/1/10	BIKE4550	118.44	157.92	usr042	Jessica	Larson	China
INV0762	2015/10/18	BIKE4080	156.76875	209.025	usr024	Barbara	Martinez	China
INV0783	2014/2/11	BIKE4550	829.08	1105.44	usr022	Elizabeth	Weaver	China
INV0785	2013/5/31	BIKE4680	1676.43	2235.24	usr031	Margaret	Matthews	China
INV0806	2013/12/7	BIKE4680	2188.6725	2918.23	usr037	Samuel	Martin	China
INV0873	2013/4/28	BIKE4155	1046.28	1395.04	usr041	Lillian	Mills	China
INV0935	2013/4/20	BIKE4155	784.71	1046.28	usr016	Kevin	Edwards	China
INV0936	2014/12/8	BIKE3630	505.83	674.44	usr020	Bobby	Bishop	China
INV0938	2015/9/7	BIKE4550	39.48	52.64	usr036	Nicole	Mendoza	China
INV0952	2013/5/9	BIKE4680	186.27	248.36	usr028	Jennifer	Bell	China
INV0960	2015/10/23	BIKE4155	1046.28	1395.04	usr023	Randy	Brown	China
INV0965	2015/10/28	BIKE4080	783.84375	1045.125	usr023	Randy	Brown	China
INV0973	2015/1/9	BIKE4550	1381.8	1842.4	usr001	Elizabeth	Hayes	China
INV0976	2015/11/20	BIKE4080	313.5375	418.05	usr017	Donald	Thomas	China
INV1013	2016/3/21	BIKE4080	313.5375	418.05	usr033	Keith	Cox	China
INV1024	2015/7/8	BIKE4550	1737.12	2316.16	usr039	Samuel	Cruz	China
INV1036	2014/10/30	BIKE4680	1024.485	1365.98	usr022	Elizabeth	Weaver	China
INV1105	2015/11/9	BIKE3630	758.745	1011.66	usr025	David	Carr	China
INV1124	2015/3/22	BIKE4080	470.30625	627.075	usr004	Willie	Montgomery	China
INV1139	2013/3/2	BIKE4680	232.8375	310.45	usr024	Barbara	Martinez	China
INV1173	2014/10/7	BIKE3630	1011.66	1348.88	usr004	Willie	Montgomery	China
INV1183	2015/7/28	BIKE4080	156.76875	209.025	usr047	Martin	King	China
INV1201	2014/1/22	BIKE3630	1264.575	1686.1	usr021	Doris	Jones	China
INV1214	2013/8/20	BIKE4550	1816.08	2421.44	usr043	Raymond	Johnston	China
INV1226	2015/2/25	BIKE4080	470.30625	627.075	usr011	Edward	Kennedy	China
INV1262	2016/4/11	BIKE4080	627.075	836.1	usr042	Jessica	Larson	China
INV1269	2013/6/6	BIKE4550	1697.64	2263.52	usr030	Frank	Fernandez	China
INV1284	2014/4/29	BIKE3630	1264.575	1686.1	usr040	Judy	Snyder	China
INV1287	2014/3/22	BIKE4680	2095.5375	2794.05	usr046	Kathleen	Scott	China
INV1296	2015/6/21	BIKE4550	1776.6	2368.8	usr043	Raymond	Johnston	China
INV1313	2013/5/22	BIKE4550	631.68	842.24	usr009	Andrew	Andrews	China
INV1316	2014/10/7	BIKE4155	1046.28	1395.04	usr018	Roy	Jackson	China
INV1330	2013/3/20	BIKE4550	197.4	263.2	usr019	William	Grant	China
INV1342	2014/12/29	BIKE4080	470.30625	627.075	usr016	Kevin	Edwards	China
INV1344	2016/1/21	BIKE4550	1026.48	1368.64	usr009	Andrew	Andrews	China
INV1361	2015/10/14	BIKE4680	1443.5925	1924.79	usr003	Wayne	Parker	China
INV1377	2013/12/6	BIKE4155	1046.28	1395.04	usr020	Bobby	Bishop	China
INV1380	2015/10/14	BIKE4680	1397.025	1862.7	usr050	Maria	Stanley	China
INV1398	2013/8/27	BIKE3630	1264.575	1686.1	usr047	Martin	King	China
INV1449	2013/10/11	BIKE4550	1618.68	2158.24	usr008	Rachel	Arnold	China
INV1456	2013/6/24	BIKE4680	1350.4575	1800.61	usr033	Keith	Cox	China
INV1488	2016/4/1	BIKE4155	1307.85	1743.8	usr014	Joe	Warren	China
INV1498	2013/11/19	BIKE4680	1164.1875	1552.25	usr027	Patricia	Jacobs	China
INV1526	2013/4/14	BIKE4080	627.075	836.1	usr045	Frances	Walker	China
INV1551	2015/7/28	BIKE4155	1046.28	1395.04	usr039	Samuel	Cruz	China
INV1555	2015/11/26	BIKE4550	1184.4	1579.2	usr029	Kelly	Howell	China
INV1602	2015/11/17	BIKE3630	1264.575	1686.1	usr043	Raymond	Johnston	China
INV1609	2014/12/27	BIKE4080	627.075	836.1	usr034	Gloria	Fisher	China
INV1612	2014/1/20	BIKE4155	1307.85	1743.8	usr007	Christina	Cook	China
INV1614	2014/3/15	BIKE4550	1421.28	1895.04	usr030	Frank	Fernandez	China
INV1647	2014/10/3	BIKE4155	523.14	697.52	usr017	Donald	Thomas	China
INV1689	2013/12/3	BIKE4155	784.71	1046.28	usr022	Elizabeth	Weaver	China
INV1710	2013/7/28	BIKE4080	156.76875	209.025	usr022	Elizabeth	Weaver	China
INV1751	2015/8/31	BIKE3630	1011.66	1348.88	usr038	Douglas	Jenkins	China
INV1753	2014/11/7	BIKE3630	1264.575	1686.1	usr023	Randy	Brown	China
INV1754	2013/4/1	BIKE4550	592.2	789.6	usr040	Judy	Snyder	China
INV1755	2014/1/23	BIKE4680	465.675	620.9	usr022	Elizabeth	Weaver	China
INV1758	2013/4/29	BIKE4550	1934.52	2579.36	usr003	Wayne	Parker	China
INV1761	2014/5/28	BIKE4080	783.84375	1045.125	usr021	Doris	Jones	China
INV1762	2015/4/21	BIKE4550	592.2	789.6	usr046	Kathleen	Scott	China
INV1801	2016/4/16	BIKE4080	313.5375	418.05	usr025	David	Carr	China
INV1804	2015/4/3	BIKE4680	2095.5375	2794.05	usr046	Kathleen	Scott	China
INV1805	2014/9/2	BIKE4080	156.76875	209.025	usr012	Terry	Ruiz	China
INV1818	2015/11/17	BIKE4680	279.405	372.54	usr019	William	Grant	China
INV1821	2013/3/3	BIKE4680	1909.2675	2545.69	usr048	Debra	Riley	China
INV1837	2015/7/15	BIKE4080	783.84375	1045.125	usr007	Christina	Cook	China
INV1846	2014/5/18	BIKE4155	261.57	348.76	usr018	Roy	Jackson	China
INV1850	2014/12/21	BIKE4680	2142.105	2856.14	usr022	Elizabeth	Weaver	China
INV1852	2014/7/4	BIKE4550	1974	2632	usr004	Willie	Montgomery	China
INV1859	2016/4/6	BIKE4080	627.075	836.1	usr007	Christina	Cook	China
INV1862	2014/3/12	BIKE4550	1302.84	1737.12	usr046	Kathleen	Scott	China
INV1865	2016/4/13	BIKE4550	355.32	473.76	usr014	Joe	Warren	China
INV1886	2015/8/27	BIKE3630	1011.66	1348.88	usr024	Barbara	Martinez	China
INV1911	2013/4/9	BIKE4155	1307.85	1743.8	usr044	Clarence	Ortiz	China
INV1920	2015/11/3	BIKE4550	276.36	368.48	usr012	Terry	Ruiz	China
INV1926	2016/3/8	BIKE4155	1307.85	1743.8	usr021	Doris	Jones	China
INV1928	2013/6/1	BIKE4080	470.30625	627.075	usr007	Christina	Cook	China
INV1929	2015/3/8	BIKE4550	1500.24	2000.32	usr039	Samuel	Cruz	China
INV1939	2014/9/27	BIKE3630	252.915	337.22	usr044	Clarence	Ortiz	China
INV1943	2015/9/25	BIKE3630	758.745	1011.66	usr005	Annie	Fox	China
INV1952	2014/4/28	BIKE4680	1816.1325	2421.51	usr038	Douglas	Jenkins	China
INV1985	2015/1/31	BIKE4155	784.71	1046.28	usr045	Frances	Walker	China
INV2003	2014/1/5	BIKE4155	523.14	697.52	usr017	Donald	Thomas	China
INV2030	2014/12/4	BIKE4680	1909.2675	2545.69	usr003	Wayne	Parker	China
INV2039	2015/7/19	BIKE4680	2328.375	3104.5	usr036	Nicole	Mendoza	China
INV2055	2015/8/16	BIKE3630	505.83	674.44	usr035	Willie	Jackson	China
INV2088	2014/12/21	BIKE4680	838.215	1117.62	usr021	Doris	Jones	China
INV2094	2014/3/21	BIKE4550	1539.72	2052.96	usr007	Christina	Cook	China
INV2108	2013/7/4	BIKE4680	605.3775	807.17	usr004	Willie	Montgomery	China
INV2153	2013/9/4	BIKE3630	1011.66	1348.88	usr036	Nicole	Mendoza	China
INV2165	2014/2/15	BIKE4550	513.24	684.32	usr024	Barbara	Martinez	China
INV2255	2014/10/20	BIKE4680	1583.295	2111.06	usr041	Lillian	Mills	China
INV2300	2014/6/23	BIKE3630	252.915	337.22	usr023	Randy	Brown	China
INV2301	2013/8/12	BIKE4080	783.84375	1045.125	usr025	David	Carr	China
INV2324	2014/12/29	BIKE3630	1264.575	1686.1	usr034	Gloria	Fisher	China
INV2337	2015/12/31	BIKE4155	784.71	1046.28	usr013	Louis	Rice	China
INV2354	2014/6/7	BIKE4550	1697.64	2263.52	usr047	Martin	King	China
INV2370	2015/6/20	BIKE4680	1536.7275	2048.97	usr020	Bobby	Bishop	China
INV2375	2013/12/10	BIKE4680	1024.485	1365.98	usr042	Jessica	Larson	China
INV2379	2014/3/5	BIKE3630	758.745	1011.66	usr013	Louis	Rice	China
INV2382	2016/2/17	BIKE4155	261.57	348.76	usr023	Randy	Brown	China
INV2387	2014/1/23	BIKE3630	252.915	337.22	usr050	Maria	Stanley	China
INV2389	2014/1/30	BIKE4550	1697.64	2263.52	usr049	Rose	Stone	China
INV2400	2016/3/16	BIKE4155	261.57	348.76	usr021	Doris	Jones	China
INV2408	2013/7/24	BIKE4155	1046.28	1395.04	usr003	Wayne	Parker	China
INV2479	2014/7/30	BIKE3630	758.745	1011.66	usr019	William	Grant	China
INV2500	2013/5/18	BIKE4550	394.8	526.4	usr036	Nicole	Mendoza	China
INV2512	2015/4/18	BIKE4680	325.9725	434.63	usr004	Willie	Montgomery	China
INV2523	2014/8/4	BIKE4550	1539.72	2052.96	usr024	Barbara	Martinez	China
INV2538	2013/2/19	BIKE4550	671.16	894.88	usr004	Willie	Montgomery	China
INV2545	2014/11/22	BIKE4550	1263.36	1684.48	usr014	Joe	Warren	China
INV2561	2014/3/1	BIKE4550	39.48	52.64	usr039	Samuel	Cruz	China
INV2571	2015/5/5	BIKE4080	627.075	836.1	usr039	Samuel	Cruz	China
INV2607	2016/1/17	BIKE4680	1117.62	1490.16	usr050	Maria	Stanley	China
INV2619	2013/3/23	BIKE4080	313.5375	418.05	usr016	Kevin	Edwards	China
INV2657	2014/4/25	BIKE4080	783.84375	1045.125	usr008	Rachel	Arnold	China
INV2661	2015/9/5	BIKE4080	313.5375	418.05	usr012	Terry	Ruiz	China
INV2691	2013/10/26	BIKE3630	1011.66	1348.88	usr033	Keith	Cox	China
INV2712	2014/9/21	BIKE3630	505.83	674.44	usr014	Joe	Warren	China
INV2730	2015/3/1	BIKE4680	1862.7	2483.6	usr014	Joe	Warren	China
INV2734	2015/8/5	BIKE4550	947.52	1263.36	usr036	Nicole	Mendoza	China
INV2737	2014/7/19	BIKE3630	252.915	337.22	usr009	Andrew	Andrews	China
INV2742	2015/11/5	BIKE4680	1024.485	1365.98	usr022	Elizabeth	Weaver	China
INV2757	2014/1/26	BIKE4080	627.075	836.1	usr039	Samuel	Cruz	China
INV2763	2015/10/14	BIKE3630	252.915	337.22	usr029	Kelly	Howell	China
INV2770	2013/6/9	BIKE4080	470.30625	627.075	usr041	Lillian	Mills	China
INV2790	2013/1/7	BIKE4680	2048.97	2731.96	usr014	Joe	Warren	China
INV2801	2016/1/17	BIKE3630	1011.66	1348.88	usr021	Doris	Jones	China
INV2812	2014/3/26	BIKE3630	1264.575	1686.1	usr021	Doris	Jones	China
INV2858	2016/3/25	BIKE3630	252.915	337.22	usr013	Louis	Rice	China
INV2859	2015/5/31	BIKE3630	252.915	337.22	usr045	Frances	Walker	China
INV2866	2015/12/29	BIKE4680	2281.8075	3042.41	usr009	Andrew	Andrews	China
INV2868	2014/1/24	BIKE4155	1046.28	1395.04	usr004	Willie	Montgomery	China
INV2877	2014/11/24	BIKE3630	758.745	1011.66	usr047	Martin	King	China
INV2887	2014/8/13	BIKE4680	838.215	1117.62	usr026	Ralph	Ramos	China
INV2904	2014/9/28	BIKE4080	783.84375	1045.125	usr024	Barbara	Martinez	China
INV2937	2015/9/3	BIKE4080	156.76875	209.025	usr040	Judy	Snyder	China
INV2994	2016/1/1	BIKE4080	470.30625	627.075	usr017	Donald	Thomas	China
INV2995	2013/10/10	BIKE4155	523.14	697.52	usr027	Patricia	Jacobs	China
INV3027	2013/3/4	BIKE4080	156.76875	209.025	usr015	Melissa	Lynch	China
INV3038	2014/2/10	BIKE4550	473.76	631.68	usr022	Elizabeth	Weaver	China
INV3042	2015/1/7	BIKE4680	325.9725	434.63	usr022	Elizabeth	Weaver	China
INV3057	2013/9/16	BIKE3630	252.915	337.22	usr027	Patricia	Jacobs	China
INV3067	2015/11/17	BIKE3630	252.915	337.22	usr006	Dorothy	Garrett	China
INV3068	2013/5/4	BIKE4550	947.52	1263.36	usr017	Donald	Thomas	China
INV3088	2016/1/27	BIKE4550	710.64	947.52	usr037	Samuel	Martin	China
INV3102	2014/11/12	BIKE4680	1257.3225	1676.43	usr001	Elizabeth	Hayes	China
INV3128	2015/1/29	BIKE4680	279.405	372.54	usr030	Frank	Fernandez	China
INV3150	2013/8/19	BIKE4155	784.71	1046.28	usr008	Rachel	Arnold	China
INV3151	2014/12/29	BIKE3630	252.915	337.22	usr001	Elizabeth	Hayes	China
INV3171	2013/11/20	BIKE4155	261.57	348.76	usr001	Elizabeth	Hayes	China
INV3195	2013/12/25	BIKE4155	523.14	697.52	usr007	Christina	Cook	China
INV3214	2015/2/22	BIKE4080	783.84375	1045.125	usr022	Elizabeth	Weaver	China
INV3215	2014/11/9	BIKE4550	157.92	210.56	usr004	Willie	Montgomery	China
INV3246	2014/12/24	BIKE4680	419.1075	558.81	usr037	Samuel	Martin	China
INV3247	2013/7/15	BIKE4550	750.12	1000.16	usr039	Samuel	Cruz	China
INV3258	2015/7/9	BIKE4550	1342.32	1789.76	usr041	Lillian	Mills	China
INV3259	2015/12/5	BIKE4550	552.72	736.96	usr001	Elizabeth	Hayes	China
INV3260	2013/1/21	BIKE4680	884.7825	1179.71	usr034	Gloria	Fisher	China
INV3270	2014/9/28	BIKE4680	1722.9975	2297.33	usr023	Randy	Brown	China
INV3318	2014/1/26	BIKE4155	1046.28	1395.04	usr041	Lillian	Mills	China
INV3321	2014/7/26	BIKE4680	93.135	124.18	usr010	Gregory	Sanders	China
INV3326	2014/3/24	BIKE4080	627.075	836.1	usr035	Willie	Jackson	China
INV3361	2016/2/8	BIKE4080	313.5375	418.05	usr046	Kathleen	Scott	China
INV3368	2015/12/26	BIKE4680	2188.6725	2918.23	usr018	Roy	Jackson	China
INV3369	2014/6/3	BIKE4680	2142.105	2856.14	usr018	Roy	Jackson	China
INV3386	2013/9/26	BIKE4680	279.405	372.54	usr002	Dorothy	Hill	China
INV3394	2013/10/9	BIKE4080	627.075	836.1	usr046	Kathleen	Scott	China
INV3416	2013/8/18	BIKE4155	1307.85	1743.8	usr035	Willie	Jackson	China
INV3418	2014/11/28	BIKE3630	1264.575	1686.1	usr022	Elizabeth	Weaver	China
